[DEBUG][2017-07-03 10:22:05,239][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft
[INFO][2017-07-03 10:22:05,739][us.codecraft.webmagic.Spider]Spider github.com started!
[DEBUG][2017-07-03 10:22:08,606][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:08,606][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/code4craft
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/contact/report-abuse
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/webmagic
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/netty-learning
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/tiny-spring
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/jsoup-learning
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/xsoup
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/blackhole
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/site/terms
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/site/privacy
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/c
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/f
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/m
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l
[DEBUG][2017-07-03 10:22:08,841][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j
